Sentence #,Word,POS,Tag
Sentence: 26614,Taleban,NNP,B-org
,insurgents,NNS,O
,have,VBP,O
,vowed,VBN,O
,to,TO,O
,step,VB,O
,up,RP,O
,their,PRP$,O
,attacks,NNS,O
,against,IN,O
,Afghan,JJ,B-gpe
,and,CC,O
,international,JJ,O
,troops,NNS,O
,during,IN,O
,the,DT,O
,holy,JJ,O
,month,NN,O
,of,IN,O
,Ramadan,NNP,B-geo
,",",",",O
,which,WDT,O
,began,VBD,O
,last,JJ,O
,week,NN,O
,.,.,O
Sentence: 26615,Meanwhile,RB,O
,",",",",O
,Bangladesh,NNP,B-org
,is,VBZ,O
,appealing,VBG,O
,for,IN,O
,the,DT,O
,release,NN,O
,of,IN,O
,an,DT,O
,aid,NN,O
,worker,NN,O
,kidnapped,VBN,O
,just,RB,O
,south,RB,O
,of,IN,O
,the,DT,O
,capital,NN,O
,",",",",O
,Kabul,NNP,B-per
,",",",",O
,on,IN,O
,Saturday,NNP,B-tim
,.,.,O
Sentence: 26616,An,DT,O
,official,NN,O
,with,IN,O
,the,DT,O
,interim,JJ,O
,government,NN,O
,of,IN,O
,Bangladesh,NNP,B-org
,said,VBD,O
,in,IN,O
,a,DT,O
,statement,NN,O
,Monday,NNP,B-tim
,the,DT,O
,abducted,JJ,O
,man,NN,O
,'s,POS,O
,only,JJ,O
,mission,NN,O
,in,IN,O
,Afghanistan,NNP,B-geo
,is,VBZ,O
,humanitarian,JJ,O
,.,.,O
Sentence: 26617,The,DT,O
,Bangladeshi,JJ,B-gpe
,national,NN,O
,was,VBD,O
,taken,VBN,O
,from,IN,O
,his,PRP$,O
,office,NN,O
,in,IN,O
,Logar,NNP,B-geo
,province,NN,O
,by,IN,O
,unidentified,JJ,O
,armed,JJ,O
,men,NNS,O
,.,.,O
Sentence: 26618,Iranian,JJ,B-gpe
,President,NNP,B-per
,Mahmoud,NNP,I-per
,Ahmadinejad,NNP,I-per
,is,VBZ,O
,reported,VBN,O
,to,TO,O
,have,VB,O
,called,VBN,O
,Israel,NNP,B-geo
,the,DT,O
,"""",``,O
,flag,NN,O
,of,IN,O
,Satan,NNP,B-geo
,.,.,O
,"""",``,O
Sentence: 26619,The,DT,O
,state-run,JJ,O
,IRNA,NNP,B-org
,news,NN,O
,agency,NN,O
,says,VBZ,O
,the,DT,O
,Iranian,JJ,B-gpe
,leader,NN,O
,made,VBD,O
,the,DT,O
,comment,NN,O
,to,TO,O
,a,DT,O
,religious,JJ,O
,conference,NN,O
,.,.,O
Sentence: 26620,It,PRP,O
,quotes,VBZ,O
,him,PRP,O
,saying,VBG,O
,that,IN,O
,when,WRB,O
,the,DT,O
,philosophy,NN,O
,of,IN,O
,a,DT,O
,state,NN,O
,is,VBZ,O
,in,IN,O
,question,NN,O
,",",",",O
,it,PRP,O
,may,MD,O
,be,VB,O
,on,IN,O
,the,DT,O
,path,NN,O
,to,TO,O
,decline,NN,O
,and,CC,O
,dissolution,NN,O
,.,.,O
Sentence: 26621,Mr.,NNP,B-per
,Ahmadinejad,NNP,I-per
,sparked,VBD,O
,international,JJ,O
,outrage,NN,O
,in,IN,O
,2005,CD,B-tim
,when,WRB,O
,he,PRP,O
,said,VBD,O
,Israel,NNP,B-geo
,should,MD,O
,be,VB,O
,wiped,VBN,O
,off,RP,O
,the,DT,O
,map,NN,O
,.,.,O
Sentence: 26622,He,PRP,O
,has,VBZ,O
,also,RB,O
,called,VBN,O
,the,DT,O
